149,Cummins,159,999.00 ,-28.30,58600,N. Thomas Linebarger,Industrials,Industrial Machinery,Columbus,IN,39.2014404,-85.9213796
150,Micron Technology,226,5089.00 ,-,34100,Sanjay Mehrotra,Technology,Semiconductors and Other Electronic Components,Boise,ID,43.6150186,-116.2023137
151,Nucor,169,1318.70 ,65.60,25100,John J. Ferriola,Materials,Metals,Charlotte,NC,35.2270869,-80.8431267
152,Molina Healthcare,156,512.00,-1084.60,20000,Joseph M. Zubretsky,Health Care,Health Care: Insurance and Managed Care,Long Beach,CA,33.7700504,-118.1937395
153,Fluor,149,191.40 ,-32.00,56706,David T. Seaton,Engineering &  Construction,"Engineering, Construction",Irving,TX,32.8140177,-96.9488945
154,Altria Group,148,10222.00 ,-28.20,8300,Howard A. Willard III,"Food, Beverages &  Tobacco",Tobacco,Richmond,VA,37.5407246,-77.4360481
155,Paccar,164,1675.20 ,221.10,25000,Ronald E. Armstrong,Industrials,Construction and Farm Machinery,Bellevue,WA,47.6101497,-122.2015159
156,Hartford Financial Services,153,3131.00,-449.40,16400,Christopher J. Swift,Financials,Insurance: Property and Casualty (Stock),Hartford,CT,41.7658043,-72.6733723
157,Kohls,150,859.00 ,54.50,85000,Michelle D. Gass,Retailing,General Merchandisers,Menomonee Falls,WI,43.1788967,-88.1173132
158,Western Digital,217,397.00 ,64.00,67629,Stephen D. Milligan,Technology,"Computers, Office Equipment",San Jose,CA,37.3382082,-121.8863286
159,Jabil,152,129.10 ,-49.20,170000,Mark T. Mondello,Technology,Semiconductors and Other Electronic Components,St. Petersburg,FL,27.7676008,-82.6402915
160,Community Health Systems,130,2459.00,-,86000,Wayne T. Smith,Health Care,Health Care: Medical Facilities,Franklin,TN,35.9250637,-86.8688899
161,Visa,187,6699.00 ,11.80,15000,Alfred F. Kelly Jr.,Business Services,Financial Data Services,SF,CA,37.7749295,-122.4194155
162,Danaher,144,2492.10 ,-2.40,67000,Thomas P. Joyce Jr.,Health Care,Medical Products and Equipment,Leavenworth,WA,47.7510741,-120.7401385
163,Kimberly-Clark,155,2278.00 ,5.20,42000,Thomas J. Falk,Household Products,Household and Personal Products,Irving,TX,32.8140177,-96.9488945
